House Age;Square Feet;Market Value
33;1.812;90000
32;1.914;104400
32;1.842;93300
33;1.812;91000
32;1.836;101900
33;2.028;108500
32;1.732;87600
33;1.850;96000
32;1.791;89200
33;1.666;88400
32;1.852;100800
32;1.620;96700
32;1.692;87500
32;2.372;114000
32;2.372;113200
33;1.666;87500
32;2.123;116100
32;1.620;94700
32;1.731;86400
32;1.666;87100
28;1.520;83400
27;1.484;79800
28;1.588;81500
28;1.598;87100
28;1.484;82600
28;1.484;78800
28;1.520;87600
27;1.701;94200
28;1.484;82000
28;1.468;88100
28;1.520;88100
27;1.520;88600
27;1.484;76600
28;1.520;84400
27;1.668;90900
28;1.588;81000
28;1.784;91300
27;1.484;81300
27;1.520;100700
28;1.520;87200
27;1.684;96700
27;1.581;120700
